City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,khanty-mansiysk,61.0042,69.0019,0.06,100,75,3.0,RU,1730174761
247,coruripe,-10.1256,-36.1756,24.9,77,73,3.71,BR,1730174762
248,banda aceh,5.5577,95.3222,29.87,66,95,7.38,ID,1730174763
249,bebedja,8.6761,16.566,22.4,61,19,0.27,TD,1730174764
250,gao,16.6362,1.637,26.42,16,85,4.31,ML,1730174454
251,kertih,4.5141,103.4483,32.01,62,20,1.54,MY,1730174767
252,kananga,-5.8958,22.4178,20.16,95,59,0.42,CD,1730174768
253,polyarnyy,69.1989,33.4478,2.34,76,19,11.49,RU,1730174769
254,suomussalmi,64.8869,28.9078,0.17,81,10,4.76,FI,1730174770
255,mangrol,21.1167,70.1167,29.03,67,59,3.32,IN,1730174771
256,cole harbour,44.6724,-63.4751,1.63,76,5,1.34,CA,1730174773
257,betio village,1.358,172.9211,30.02,70,3,3.01,KI,1730174774
258,santa cruz,-17.8,-63.1667,24.7,78,20,1.54,BO,1730174775
259,tomatlan,19.9333,-105.25,22.62,92,0,1.36,MX,1730174776
260,thinadhoo,0.5333,72.9333,28.1,72,83,5.24,MV,1730174777
261,green river,41.5286,-109.4662,8.32,80,80,6.32,US,1730174779
262,palangkaraya,-2.2,113.8333,35.93,38,61,2.07,ID,1730174780
263,qaqortoq,60.7167,-46.0333,-0.18,96,100,2.48,GL,1730174781
264,floro,61.5996,5.0328,3.98,93,20,4.63,NO,1730174783
265,bubaque,11.2833,-15.8333,28.35,69,8,3.26,GW,1730174785
266,lewiston orchards,46.3804,-116.9754,7.71,82,90,0.94,US,1730174786
267,mili,6.0815,171.735,28.34,72,56,2.99,MH,1730174649
268,saint-philippe,-21.3585,55.7679,24.6,74,5,3.73,RE,1730174789
269,ilulissat,69.2167,-51.1,-13.99,56,22,1.54,GL,1730174792
270,kentau,43.5206,68.5094,5.93,56,31,1.02,KZ,1730174793
271,grimmen,54.1121,13.0405,12.6,96,100,3.87,DE,1730174794
